item,verb,noun,condition,iRT_AJT,verb_delta_cos,verb_pool_size,verb_apd,verb_n_clusters,verb_samd,noun_delta_cos,noun_pool_size,noun_x_source,noun_apd,noun_n_clusters
capture heart,capture,heart,Idiom,973.048387096774,0.8953807950019836,96,0.3400871157646179,2,,0.9323731660842896,-1,verbs_pt_fallback,0.22233398258686066,2
hurt eye,hurt,eye,Idiom,1098.032258064516,0.9181036949157715,89,0.22816786170005798,2,,0.9666020274162292,96,nouns_pt,0.1758243590593338,2
abandon ship,abandon,ship,Idiom,871.6129032258065,0.9660558700561523,99,0.2368042767047882,2,,0.9817795753479004,-1,verbs_pt_fallback,0.16472594439983368,2
spin wheel,spin,wheel,Idiom,1272.6129032258063,0.9627634286880493,83,0.2541119456291199,2,,0.9485357403755188,-1,verbs_pt_fallback,0.22283923625946045,2
flood market,flood,market,Idiom,946.3870967741937,0.9393567442893982,89,0.3242815434932709,2,,0.9872581958770752,-1,verbs_pt_fallback,0.2803095281124115,2
strain ear,strain,ear,Idiom,1293.7540983606557,0.852432131767273,80,0.29472604393959045,2,,0.9868181943893433,-1,verbs_pt_fallback,0.13817854225635529,2
close gap,close,gap,Idiom,950.3225806451612,0.8477048873901367,92,0.26785239577293396,2,,0.9971339702606201,-1,verbs_pt_fallback,0.2083042860031128,2
unleash hell,unleash,hell,Idiom,928.983870967742,0.9397333264350891,95,0.47483280301094055,2,,0.9681946039199829,-1,verbs_pt_fallback,0.207149937748909,2
drop line,drop,line,Idiom,949.0491803278688,0.9352057576179504,95,0.3851686418056488,2,,0.962833821773529,98,nouns_pt,0.2656049430370331,2
smear opponent,smear,opponent,Idiom,1304.854838709677,0.9399933815002441,50,0.3569709360599518,4,,0.9135764241218567,-1,verbs_pt_fallback,0.28170090913772583,2
shift burden,shift,burden,Idiom,1041.3225806451612,0.9586420655250549,98,0.2699120044708252,2,,0.9832410216331482,-1,verbs_pt_fallback,0.2314426302909851,2
pierce veil,pierce,veil,Idiom,1321.1475409836066,0.9307199120521545,73,0.2533318102359772,2,,0.9949672222137451,-1,verbs_pt_fallback,0.19014255702495575,2
build wall,build,wall,Idiom,776.9508196721312,0.9460258483886719,99,0.2250203937292099,2,,0.9601126313209534,-1,verbs_pt_fallback,0.16323664784431458,2
unearth treasure,unearth,treasure,Idiom,1036.2096774193549,0.9170769453048706,77,0.47293248772621155,2,,1.0,-1,verbs_pt_fallback,0.23106762766838074,3
spill bean,spill,bean,Idiom,768.3870967741935,0.9306547045707703,81,0.34721362590789795,3,,0.8823890686035156,-1,verbs_pt_fallback,0.2866462469100952,2
lock horn,lock,horn,Idiom,1001.0967741935484,0.9265656471252441,90,0.20849469304084778,2,,1.0000001192092896,-1,verbs_pt_fallback,0.17067702114582062,2
shatter record,shatter,record,Idiom,1066.72131147541,0.8875560760498047,83,0.33720019459724426,2,,0.9601296186447144,-1,verbs_pt_fallback,0.24598850309848785,2
enter market,enter,market,Idiom,871.4918032786885,0.9184974431991577,92,0.3126228451728821,2,,0.9809443950653076,-1,verbs_pt_fallback,0.28628602623939514,2
ignite fire,ignite,fire,Idiom,834.1935483870968,0.960407018661499,90,0.3395794630050659,2,,0.9945189356803894,-1,verbs_pt_fallback,0.19087831676006317,2
strike gold,strike,gold,Idiom,840.7,0.9451057314872742,91,0.28715819120407104,2,,0.9763975739479065,-1,verbs_pt_fallback,0.15427455306053162,2
smell rose,smell,rose,Idiom,843.1147540983607,0.958089292049408,84,0.16463498771190643,2,,0.9862653017044067,-1,verbs_pt_fallback,0.11949945986270905,2
battle demon,battle,demon,Idiom,1087.5,0.9698894023895264,94,0.300170361995697,2,,0.9838030934333801,-1,verbs_pt_fallback,0.21609920263290405,3
cover ground,cover,ground,Idiom,913.5645161290324,0.9516035318374634,96,0.42824217677116394,2,,0.9837034344673157,89,nouns_pt,0.2870464324951172,3
cut corner,cut,corner,Idiom,859.3064516129032,0.9407389760017395,99,0.29732945561408997,2,,0.9556638598442078,-1,verbs_pt_fallback,0.2139391005039215,2
