verb,noun,item,n_kwics,coll_freq,logDice,usage,noun_concreteness,noun_synset_len,verb_synset_len,snd3,snd10,snd25,snd50,queried_by_verb,queried_by_noun,n_nouns_for_verb,n_verbs_for_noun
abandon,basket,abandon basket,100,Not found,Not found,Not found,5.0,4,5,92.968,137.82,159.48,172.87,0,1,15,88
abandon,building,abandon building,100,15935,7.17,abandoned buildings,4.64,4,5,193.2,298.76,338.74,361.38,0,1,15,95
abandon,car,abandon car,100,7381,5.56,abandoned car,4.89,5,5,146.58,271.86,328.14,362.93,0,1,15,98
abandon,child,abandon child,100,12728,5.62,abandoned children,4.78,4,5,201.04,295.22,346.37,384.22,0,1,15,97
abandon,dream,abandon dream,100,2327,5.05,abandon their dreams,2.6,6,5,147.1,213.55,239.31,254.22,0,1,15,93
abandon,fight,abandon fight,100,Not found,Not found,Not found,4.2,5,5,166.91,274.84,323.71,354.02,0,1,15,93
abandon,habit,abandon habit,100,Not found,Not found,Not found,2.76,6,5,124.43,184.5,207.67,221.79,0,1,15,85
abandon,hope,abandon hope,100,7031,6.7,abandon hope,1.25,6,5,166.95,241.91,272.45,287.77,0,1,15,93
abandon,house,abandon house,100,11783,6.5,an abandoned house,5.0,12,5,207.43,310.94,359.63,394.2,0,1,15,94
abandon,idea,abandon idea,100,14442,5.78,abandoned the idea,1.61,5,5,186.11,292.47,339.77,365.76,0,1,15,99
abandon,infant,abandon infant,100,Not found,Not found,Not found,4.93,1,5,95.378,142.86,165.46,180.78,0,1,15,71
abandon,plan,abandon plan,100,19302,6.66,abandoned plans,3.4,3,5,144.41,259.22,311.43,339.79,0,1,15,97
abandon,project,abandon project,100,18018,6.46,project was abandoned,3.62,2,5,170.17,284.97,344.87,374.52,0,1,15,90
abandon,responsibility,abandon responsibility,100,2356,4.68,abandoned their responsibilities,1.4,3,5,139.46,206.54,231.4,249.11,0,1,15,94
abandon,vehicle,abandon vehicle,100,6599,6.11,abandoned vehicles,4.64,4,5,135.77,243.43,288.48,318.05,0,1,15,95
abdicate,responsibility,abdicate responsibility,100,8095,7.05,abdicate responsibility,1.4,3,1,139.46,206.54,231.4,249.11,0,1,1,94
abet,terrorist,abet terrorist,100,486,5.76,aiding and abetting terrorists,3.64,1,1,85.007,132.96,160.49,178.63,0,1,1,90
abolish,law,abolish law,100,5645,5.59,abolish the law,2.57,7,1,136.56,216.4,271.88,309.43,0,1,2,95
abolish,tax,abolish tax,100,4838,6.3,tax was abolished,3.89,1,1,84.254,125.94,147.02,164.68,0,1,2,91
absorb,attention,absorb attention,100,1657,3.51,absorbed the attention,2.3,6,9,133.07,191.66,213.39,223.75,0,1,6,96
absorb,butter,absorb butter,100,Not found,Not found,Not found,4.9,2,9,82.231,121.23,150.89,172.76,0,1,6,81
absorb,fluid,absorb fluid,100,1624,5.86,absorb fluids,4.73,2,9,107.21,168.71,197.48,212.55,0,1,6,88
absorb,oil,absorb oil,100,6896,6.81,absorb oil,4.93,4,9,116.09,174.9,208.49,229.11,0,1,6,97
absorb,sugar,absorb sugar,100,1018,5.01,absorb sugar,4.87,3,9,84.472,131.97,165.27,185.99,0,1,6,94
absorb,water,absorb water,100,23288,7.36,absorb water,5.0,6,9,232.15,324.2,362.8,390.59,0,1,6,97
abuse,child,abuse child,100,28794,6.93,abused children,4.78,4,4,201.04,295.22,346.37,384.22,0,1,4,97
abuse,pill,abuse pill,100,Not found,Not found,Not found,4.72,5,4,68.926,102.91,117.35,126.85,0,1,4,86
abuse,position,abuse position,100,9720,6.22,abused his position,2.62,16,4,229.38,325.34,362.4,380.34,0,1,4,96
abuse,trust,abuse trust,100,3251,6.69,abused the trust,2.04,6,4,146.8,212.51,243.01,258.24,0,1,4,95
accelerate,change,accelerate change,100,11975,5.69,accelerating change,2.89,10,2,169.83,260.43,300.98,324.77,0,1,3,97
accelerate,momentum,accelerate momentum,100,1470,5.21,accelerate the momentum,2.5,2,2,79.992,112.44,123.59,129.88,0,1,3,89
accelerate,spending,accelerate spending,100,Not found,Not found,Not found,3.31,2,2,78.229,122.43,144.17,157.7,0,1,3,91
accept,abuse,accept abuse,100,Not found,Not found,Not found,2.71,3,11,95.851,150.62,181.18,201.53,0,1,37,92
accept,agenda,accept agenda,100,Not found,Not found,Not found,2.66,2,11,133.95,192.96,217.15,230.81,0,1,37,93
accept,ban,accept ban,100,Not found,Not found,Not found,2.37,5,11,108.72,169.3,203.52,222.15,0,1,37,92
accept,blame,accept blame,100,Not found,Not found,Not found,2.06,2,11,57.303,82.246,91.476,96.689,0,1,37,56
accept,challenge,accept challenge,100,30049,7.07,accepted the challenge,2.11,5,11,158.7,224.89,250.88,263.63,0,1,37,93
accept,change,accept change,100,21282,6.02,accept change,2.89,10,11,169.83,260.43,300.98,324.77,0,1,37,97
accept,charge,accept charge,100,Not found,Not found,Not found,2.96,15,11,190.91,262.88,290.47,306.26,0,1,37,93
accept,contract,accept contract,100,Not found,Not found,Not found,4.15,3,11,157.64,239.45,272.05,289.2,0,1,37,93
accept,darkness,accept darkness,100,Not found,Not found,Not found,3.85,6,11,114.39,168.09,194.04,209.34,0,1,37,78
accept,deal,accept deal,100,11239,5.7,accept the deal,3.1,9,11,162.55,254.97,291.8,311.14,0,1,37,98
accept,document,accept document,100,Not found,Not found,Not found,4.41,4,11,158.9,245.28,277.4,295.0,0,1,37,94
accept,dog,accept dog,100,Not found,Not found,Not found,4.85,7,11,104.88,197.0,248.38,285.38,0,1,37,98
accept,election,accept election,100,Not found,Not found,Not found,3.17,4,11,169.32,244.01,275.67,294.49,0,1,37,94
accept,evidence,accept evidence,100,11318,5.58,accept the evidence,3.65,3,11,161.8,250.91,291.33,310.6,0,1,37,95
accept,fact,accept fact,100,45722,7.67,accept the fact that,2.72,4,11,254.34,365.67,419.85,450.64,0,1,37,98
accept,fight,accept fight,100,Not found,Not found,Not found,4.2,5,11,166.91,274.84,323.71,354.02,0,1,37,93
accept,food,accept food,100,Not found,Not found,Not found,4.8,3,11,169.07,241.2,280.07,303.04,0,1,37,97
accept,fund,accept fund,100,Not found,Not found,Not found,3.18,3,11,147.28,207.45,229.19,247.48,0,1,37,94
accept,hint,accept hint,100,Not found,Not found,Not found,2.33,5,11,145.16,208.15,236.51,250.97,0,1,37,89
accept,idea,accept idea,100,24117,6.09,accept the idea,1.61,5,11,186.11,292.47,339.77,365.76,0,1,37,99
accept,kiss,accept kiss,100,Not found,Not found,Not found,4.48,4,11,79.436,123.41,140.16,149.2,0,1,37,62
accept,marriage,accept marriage,100,Not found,Not found,Not found,2.51,4,11,196.35,296.41,331.1,348.3,0,1,37,95
accept,money,accept money,100,21428,6.03,accept money,4.54,3,11,103.44,164.62,189.47,205.68,0,1,37,97
accept,myth,accept myth,100,Not found,Not found,Not found,2.17,1,11,129.8,193.08,219.75,234.87,0,1,37,90
accept,nonsense,accept nonsense,100,Not found,Not found,Not found,2.38,2,11,61.401,95.296,109.2,118.44,0,1,37,73
accept,plan,accept plan,100,10220,5.18,accept the plan,3.4,3,11,144.41,259.22,311.43,339.79,0,1,37,97
